Intrinsic_color,a0,a1,a2,a3,min_Teff,max_Teff
J-H,1.50E+00,-2.13E-04,-9.39E-09,1.63E-12,3850,8350
J-K,2.35E+00,-5.16E-04,2.88E-08,-8.80E-15,3850,8.40E+03
J-W1,2.73E+00,-6.44E-04,4.64E-08,-8.48E-13,3850,8.40E+03
J-W2,3.41E+00,-1.07E-03,1.22E-07,-5.05E-12,3850,8.40E+03
J-W3,3.98E+00,-1.28E-03,1.47E-07,-6.05E-12,3850,8.15E+03
J-W4,1.89E+00,-2.30E-04,,,3950,7.75E+03
J-[3.6],3.55E+00,-1.02E-03,1.01E-07,-3.14E-12,3900,8.25E+03
J-[4.5],3.80E+00,-1.18E-03,1.29E-07,-4.70E-12,3900,8.25E+03
